260	VIJ|항공코드	버진고르다 공항					버진고르다 
261	BWN|항공코드	브루나이 국제공항					브루나이 
262	REP|항공코드	앙코르 국제공항					앙코르 
263	BBM|항공코드	바탐방 공항					바탐방 
264	KZK|항공코드	콤퐁참 공항					콤퐁참 
265	KZC|항공코드	콤퐁취낭 공항					콤퐁취낭 
266	KTI|항공코드	크라티에 공항					크라티에 
267	PNH|항공코드	포켄통 공항					포켄통 
268	TNX|항공코드	스텅트렝 공항					스텅트렝 
269	AIT|항공코드	아바루아 공항					아바루아 
270	AIU|항공코드	에누아 공항					에누아 
271	MGS|항공코드	망가이아 공항					망가이아 
272	MHX|항공코드	마니히키 아일랜드 공항					마니히키 아일랜드 
273	MUK|항공코드	마우케 공항					마우케 
274	RAR|항공코드	라로통가 국제공항					라로통가 
275	PYE|항공코드	통가레바 공항					통가레바 
276	FNJ|항공코드	순안 국제공항  	평양				순안 
277	BFJ|항공코드	바 공항					바 
278	CST|항공코드	케스트어웨이 아일랜드 공항					케스트어웨이 아일랜드 
279	ICI|항공코드	시시아 공항					시시아 
280	BVF|항공코드	다마 공항					다마 
281	KXF|항공코드	코로 공항					코로 
282	LKB|항공코드	라케바 공항					라케바 
283	LBS|항공코드	램버사 공항					램버사 
284	LEV|항공코드	레부카 에어필드 공항					레부카 에어필드 
285	PTF|항공코드	말로로라이라이 공항					말로로라이라이 
286	MNF|항공코드	마나아일랜드 공항					마나아일랜드 
287	MFJ|항공코드	모알라 공항					모알라 
288	NAN|항공코드	나디 국제공항					나디 
289	SUV|항공코드	나우조리 국제공항					나우조리 
290	RBI|항공코드	라비 공항					라비 
291	RTA|항공코드	포투마 공항					포투마 
292	SVU|항공코드	사부사부 공항 	우타파우				사부사부 
293	TVU|항공코드	타베우니 아일랜드 공항					타베우니 아일랜드 
294	VBV|항공코드	배뉴발래부 공항					배뉴발래부 
295	VAU|항공코드	바투쿨라 공항					바투쿨라 
296	VTF|항공코드	바튤리 공항					바튤리 
