PKN|항공코드,이스칸다르 공항,,,,
JKT|항공코드,자카르타 ,자카르타 시티,,,
RGT|항공코드,자푸라 공항,,,,
FOO|항공코드,젬부루요 공항,,,,
SUB|항공코드,주안다 국제공항,,,,
LBW|항공코드,주바이 세마링 공항,,,,
TRK|항공코드,자와타 공항,,,,
KNG|항공코드,카이마나 공항,,,,
PSJ|항공코드,카식군추 공항,,,,
KEQ|항공코드,케바르 공항,,,,
KLQ|항공코드,케루앙 공항,,,,
KEI|항공코드,케피 공항,,,,
TNJ|항공코드,키쟝 공항,,,,
TLI|항공코드,라로스 공항,,,,
LHI|항공코드,레레 공항,,,,
LSX|항공코드,록수콘 공항,,,,
LPU|항공코드,롱가풍 공항,,,,
SBG|항공코드,마이문 살레 공항,,,,
MAL|항공코드,망골 공항,,,,
WGP|항공코드,마우 하우 공항,,,,
MNA|항공코드,멜랑구안 공항,,,,
RDE|항공코드,머디 공항,,,,
PDG|항공코드,미낭카바우 국제공항,,,,
MDP|항공코드,민디프타나 공항,,,,
ONI|항공코드,모나마니 공항,,,,
BIK|항공코드,프랭크 캐시에포 공항 ,목크메르,,,
MKQ|항공코드,모파 공항,,,,
BMU|항공코드,무하메드 사라후딘 공항,,,,
MPC|항공코드,무코 무코 공항,,,,
LII|항공코드,물리아 공항,,,,
PLW|항공코드,무티아라 공항,,,,
LBJ|항공코드,무티아라 공항  ,코모도,,,
NBX|항공코드,나비레 공항,,,,
NAH|항공코드,나하 공항,,,,
NAM|항공코드,남레아 공항,,,,
NPO|항공코드,낭가피노 공항,,,,
CPF|항공코드,음글로람 공항,,,,
DPS|항공코드,느구라 라이 공항,,,,
NNX|항공코드,누누칸 공항,,,,
OKQ|항공코드,오카바 공항,,,,
OKL|항공코드,옥시빌 공항,,,,
BKS|항공코드,파당케밀링 공항,,,,
PGK|항공코드,팡칼피낭 공항,,,,
PSU|항공코드,핑스마 공항,,,,
AMQ|항공코드,파티무라 공항,,,,
PDO|항공코드,펜도포 공항,,,,
CBN|항공코드,펭궁 공항,,,,
DUM|항공코드,피낭 캄파이 공항,,,,
OTI|항공코드,피투 공항,,,,
MES|항공코드,폴로니아 공항,,,,
PCB|항공코드,폰독 카베 공항,,,,
TKG|항공코드,라딘 인텐 II 공항  ,브란티,,,
KTG|항공코드,라하디 우스만 공항,,,,
NTX|항공코드,라나이 공항,,,,
MKW|항공코드,렌다리 공항,,,,
RKI|항공코드,로콧 공항,,,,
MDC|항공코드,삼 라투라기 국제공항,,,,
SQN|항공코드,산나나 공항,,,,
TSX|항공코드,상탄 공항,,,,
RTG|항공코드,사타르타치크 공항,,,,
SXK|항공코드,사움라키 공항,,,,
SEH|항공코드,셍게 공항,,,,
DJJ|항공코드,센터리 공항,,,,
BPN|항공코드,세펭간 국제공항,,,,
KBU|항공코드,세타겐 공항,,,,
PKU|항공코드,심팡 티가 공항  ,술탄 샤리프 카심 II,,,
BDJ|항공코드,시암수딘 누어 공항,,,,
CGK|항공코드,소엑카르노 하타 국제공항,,,,
SQR|항공코드,소로아코 공항,,,,
RAQ|항공코드,수기마누루 공항,,,,
PLM|항공코드,술탄 무하무드 바다루딘 II 공항,,,,
DJB|항공코드,술탄 나야 시아리푸딘 공항,,,,
TJB|항공코드,순자이 바티 공항,,,,
PNK|항공코드,수팔디오 공항,,,,
SQG|항공코드,수슬리오 공항,,,,
TAX|항공코드,탈리아부 공항,,,,
TMC|항공코드,탐볼라카 공항,,,,
MJU|항공코드,탐파 파당 공항,,,,
TNB|항공코드,타나그로곳 공항  ,I. 바 요후다 에어필드,,,
TMH|항공코드,타나메라 공항,,,,
TIM|항공코드,템바가푸라 공항,,,,
TXM|항공코드,터미나부안 공항,,,,
SRI|항공코드,테민둥 공항,,,,
TPK|항공코드,테우쿠 쿠딸리 공항,,,,
PKY|항공코드,티지크 리우트 공항  ,파나룽,,,
GTO|항공코드,톨로티오 공항,,,,
FKQ|항공코드,토레아 공항,,,,
SUP|항공코드,트르노조요 공항,,,,
CXP|항공코드,퉁굴 울룽 공항,,,,
WET|항공코드,웨이자테 공항,,,,
MOF|항공코드,와이오티 공항,,,,
WMX|항공코드,와미나 공항,,,,
WAR|항공코드,웨어리스 공항,,,,
TJS|항공코드,와루킨 공항,,,,
WSR|항공코드,와져 공항,,,,
KDI|항공코드,월터 몽긴시디 공항,,,,
AGJ|항공코드,아구니 공항,,,,
AXT|항공코드,아키타 공항,,,,
ASJ|항공코드,아마미 공항,,,,
AOJ|항공코드,아오모리 공항,,,,
AKJ|항공코드,아사히카와 공항,,,,
CTS|항공코드,치토세 공항,,,,
NGO|항공코드,주부 센트에어 국제공항  ,센트럴 저팬,,,
FKJ|항공코드,후쿠이 공항,,,,
FUK|항공코드,후쿠오카 공항,,,,
FKS|항공코드,후쿠시마 공항,,,,
FUJ|항공코드,고토 후쿠에 공항,,,,
HAC|항공코드,하치조이지마 공항,,,,
HKD|항공코드,하코다테 공항,,,,
HNA|항공코드,하나마키 공항,,,,
HND|항공코드,동경국제공항 ,하네다,,,
